,index,product_id,reviewer,reviewer_rank,specialist,user_score,on_off,review,help,year,month,day,ÀâÆ¼,Æ®·¯ºí,°¢Áú,ÄðÅæ,°Ç¼º,all,Åº·Â,¹Ì¹é,Áö¼º,¿úÅæ,¹Î°¨¼º,¾ÆÅäÇÇ,º¹ÇÕ¼º,¸ð°ø,ÁÖ¸§,ºí·¢Çìµå,´ÙÅ©¼­Å¬,º¸½À·Â,²öÀûÀÓ,Çâ,¹ß¸²¼º,Áö¼Ó·Â,¼¼Á¤·Â,ÀÚ±Øµµ
10,10,A000000177840,pinkroom,0,0,5,0,"365ÀÏ 24½Ã°£ ÇÚµåÅ©¸²À» ´Þ°í »ç´Âµ¥,
ÁÁ´Ù´Â ÇÚµåÅ©¸² ÀÌ°ÍÀú°Í ½áºÁµµ °Ñ¸¸ ¹øÁö¸£¸£ ÇÏ°í ¼Ó±îÁö Èí¼öµÇ´Â ´À³¦Àº Àß ¾ø¾ú¾î¿ä¤Ð
¾Æº¥´À ÇÚµåÅ©¸²Àº ¼øÇÏ°í Èí¼öµµ ±Ý¹æ µÇ¾î¼­ Æ¯È÷ È¸»ç¿¡¼­ ¹Ù¸£°í ³ª¼­ Å°º¸µå ÀÚÆÇ Ä¥¶§ ÂóÂóÇÏ°Ô ÀÚ±¹ÀÌ ³²Áöµµ ¾Ê¾Æ¼­ ³Ê¹« ÁÁ¾Æ¿ä!
³Ê¹« Çâ¸¸ ÁøÇÑ ´Ù¸¥ Á¦Ç°µéº¸´Ù ¼øÇÏ°Ô º¸½ÀÀÌ µÇ¾î¼­ ¸Å¿ì ¸¸Á·ÇÕ´Ï´Ù??

±×¸®°í Á© ³×ÀÏÀ» ÀÚÁÖ ÇÏ´Â ÆíÀÌ¶ó ¼ÕÅéµµ ¸¹ÀÌ »óÇØÀÖ°í Å¥Æ¼Å¬ ºÎºÐµµ ÀÏ¾î³¯¶§°¡ ¸¹¾Ò´Âµ¥ ¾Æº¥´À ÇÚµåÅ©¸² ¹Ù¸£°í ¸¹ÀÌ ³ª¾ÆÁø°Í °°¾Æ¿ä!",1,2022,1,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
11,11,A000000177840,looi****,0,0,5,0,"ÀÌ°Å ³Ê¹« ÁÁ¾Æ¼­ ±ôÂ¦ ³î¶ú¾î¿ä.
¹Ù¸£°í ³ª¸é ²öÀûÀÓµµ ¾ø°í Çâµµ ½Å±âÇÔ¤»¤»ÇâÀÌ Ã³À½ ¸ÃÀ¸¸é ¹¹Áö? ÇÏ´Âµ¥ µÚ·Ð ¿ÏÀü ÁÁÀ½ ¤Ð¤Ð¤Ð¤Ð¤Ð¤Ð ¾Æº¥´À ¹Ï°í »ð´Ï´Ù..........",1,2019,11,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
12,12,A000000177840,psh****,0,0,5,1,"Å×½ºÅÍ Á¦Ç°À¸·Î ¿ì¿¬È÷ ¸¸³ªº¸°í ¹Ù·Î ±¸¸ÅÇÑ Á¦Ç°ÀÌ¿¹¿ä!
¸¶Ä§ ¼¼ÀÏ±â°£ÀÌ¶ó ¿ÏÀü µæÅÛÇÑ±âºÐ,,,
2ÀÔ ±âÈ¹ÀÌ¶ó ¿ë·®ÀÌ ÀûÁö¸¸ ²Ï ¿À·¡ ¾µ°Í °°¾Æ¿ä
ÀºÀºÇÏ°Ô ³ª´Â Çâµµ ¾ÆÁÖ ÁÁ±¸¿ä!
(°­ÇÑÇâÀº ¾Æ´Õ´Ï´Ù)
º¸½À·Âµµ ¶Ù¾î³ª ²Ï ¿À·£½Ã°£ ÃËÃËÇÑ ¼ÕÀÌ À¯ÁöµÇ³×¿ä!
Àç±¸¸Å ÀÇ»ç ¹éÇÁ·ÎÀÔ´Ï´ç~~~",0,2023,1,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
13,13,A000000177840,tjsw****,0,0,5,1,Ä£±¸ »ýÀÏ¼±¹°·Î ÇÚµåÅ©¸²À» ¼±¹°ÇØÁá´Âµ¥ Àß ¹ß¶óÁö°í ÃËÃËÇÏ´Ù°í Çß°í ¸¶À½¿¡ µé¾îÇß´ä´Ï´Ù.,0,2023,1,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,0,0,0,0
14,14,A000000177840,¸°ºñ,0,0,4,1,ÇâÀº ±¦ÂúÀºµ¥ ¾à°£ È£ºÒÈ£ ÀÖÀ»°Å°°¾Æ¿ä º¸½ÀÀÌ ±²ÀåÈ÷ ÁÁ¾Æ¼­ ¸¸Á· ÇÕ´Ï´Ù,0,2023,1,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
15,15,A000000177840,¸Þ·Ðºü¾Ó,0,0,5,0,"³Ñ ÁÁ¾Æ¿ä 
¸¸Á·ÇÕ´Ï´Ù
Çâµµ ¸¸Á·ÇÕ´Ï´Ù
³Ñ ÁÁ¾Æ¿ä 
¸¸Á·ÇÕ´Ï´Ù
Çâµµ ¸¸Á·ÇÕ´Ï´Ù",0,2023,1,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
16,16,A000000177840,ÂÞÁÖ,0,0,4,1,Æ©ºê ¿ë±âµµ ¸¾¿¡ µé°í ½ÀÁøµµ ±Ý¹æ ÁÙ¾ú¾î¿ä ´ë¸¸Á· ¿ø»Ü¿ø Çà»ç ÀÚÁÖÇßÀ¸¸é¤Ð,0,2023,1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
17,17,A000000177840,whang09****,0,0,5,1,¹°À» ¸¹ÀÌ ´ê´Â Á÷¾÷ÀÌ¶ó ¼Õ³¡ÀÌ Ç×»ó Æ®°í °ÇÁ¶ÇÑµ¥ ³Ê¹« ÁÁ¾Ò¾î¿ä. ±×¸®°í ÇâÀÌ ¾ø¾î ´õ ÁÁ¾Æ¿ä,0,2023,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
18,18,A000000177840,soo****,0,0,5,0,"¾Æº¥´À¸¸ÀÇ Ã»Á¤ÇÑ ´À³¦ ³Ê¹« ÁÁ³×¿ä.
Çâµµ ¼øÇÏ°í ¹ß¸²µµ ¼øÇÑ´Â³¦",0,2022,12,30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
19,19,A000000177840,À¯½ÂÈñ,0,0,5,1,¾Æº¥´À´Â º¸½ÀÈ¿°ú°¡ ÁÁ¾Æ¼­ »ç¿ëÇÏ±â ÁÁ¾Æ¿ä ¼¼ÀÏ ¶§ ±¸¸ÅÇß½À´Ï´Ù,0,2022,12,29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
20,20,A000000177840,musician****,0,0,5,1,º¸½À·ÂÀÌ ÁÁ¾Æ¼­ ¾ÆÁ÷ ³²¾Ò´Âµ¥ Àç±¸ÀÔ Çß¾î¿ä ÆÇ¸ÅÁßÀÎ ¸ÅÀåÀÌ º°·Î ¾ø¾î¼­ Àç°í ³²Àº ¸ÅÀå °Ë»öÇØ¼­ »ò¾î¿ä ÇÚµåÅ©¸² Ã£À¸½Ã´Â ºÐµéÇÑÅ× °­·Â ÃßÃµÇÕ´Ï´Ù~¤»¤»,0,2022,12,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2,0,0,0,0
21,21,A000000177840,jha****,0,0,3,0,"¹Ù¸£°í³ª¸é ¾à°£ »¶»¶ÇÏ°í º¸½À·ÂÀº ±Ý¹æ Èí¼ö°¡
µÇ¾î ¾à°£ »¶»¶ÇÑ °¨ÀÌ ÀÖ³×¿ä",0,2022,12,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
22,22,A000000177840,ÂÞÁÖ,0,0,5,1,ÁÁ¾Æ¿© Àú´Â Çâ È£ºÒÈ£µµ Å©°Ô ¾ø¾î¼­ ¸¸Á·ÇÏ°í ´Ù ½è¾î¿ä 1+1Çà»ç ÇÒ¶§ÀÖ´øµ¥ ÀÚÁÖÇßÀ¸¸é¤Ì¤Ì,0,2022,12,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
23,23,A000000177840,ÂÞÁÖ,0,0,5,1,½è´Âµ¥ ÁÁ¾Æ¼­ ³²µ¿»ýµµ ÁÖ·Á°íÈ÷¤Ñ¤± °Âµµ¸¸Á·ÇÑÁ¦Ç°¤¾¤»,0,2022,10,26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
24,24,A000000177840,ÂÞÁÖ,0,0,5,1,½ÀÁøÀ¸·Î ¼ÕÀÌ ³Ê¹« °ÇÁ¶ÇØ¼­ ÀÌ°Å»ò´Âµ¥ Àú´Â È¿°ú ¿ÏÀü º½..,0,2022,10,26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
25,25,A000000177840,musician****,0,0,5,1,"ÃËÃËÇÏ°í ÁÁ¾Æ¿ä ¿ª½Ã ¾Æº¥´À¿¡¿ä~^^
´Ù¾²¸é ¶Ç »ç·Á°í¿ä",0,2022,10,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
26,26,A000000177840,didho****,0,0,5,1,"´À³¦Àº º°·Î³×¿ä ¤Ð¤Ð
Àç±¸¸Å´Â ¾È ÇÒµíÇØ¿ä
±×·¡µµ ±Ã±ÝÇØ¼­ ±¸¸Å´Â ÇØ¾ß Çß¾î¿ä",0,2022,10,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,0
27,27,A000000177840,b2****,0,0,5,0,"ÇÚµåÅ©¸²ÀÌ ¾Æ´Ñ ÄÝµåÅ©¸²!!
°ÇÁ¶ÇÔÀ¸·Î ÀÎÇØ Æ®°í °ÅÄ¥¾îÁø ÇÇºÎ¸¦ À§ÇÑ Å©¸²ÀÌ¶ó°í »ý°¢ÇØ¿ë ¤¾¤¾ 
Ç³ºÎÇÑ ¿µ¾ç°¨À¸·Î ¶Ù¾î³­ ¸®Æä¾î È¿°ú¸¦ º¼ ¼ö ÀÖ¾î¿ë ¤¾¤¾ 
¹Ì¿ë½Ç¿¡¼­ ±Ù¹«ÇÏ´Â Ä£±¸°¡ ÀÌ ÇÚµåÅ©¸² ¸¸Å­ È¿°ú ÁÁÀº º¸½À·ÂÀ» °¡Áø Å©¸²Àº ¸øºÃ´Ù°í ¤Ð ¸Ç³¯ ÀÌ°Í¸¸ »ç¼­ ¾´´Ù°í ÇÏ´õ¶ó±¸¿ä¤Ð.. ¤¾¤¾ 
È®½ÇÈ÷ ºñ½Ñ¸¸Å­¤± ±× °ªÀ» ÇÏ´« °Í °°³×¿ä ¤¾¤¾ 
Àúµµ ¼ÕÀ» ¸¹ÀÌ ¾²´Â Á÷¾÷ÀÌ¶ó µ¢´Þ¾Æ ÃßÃµ¹Þ¾Æ¼­ »ç¼­ ½á º¾´Ï´ç ¤¾ ¤¾ 
ÃËÃËÇÏ´Ï °Ü¿ï¿¡ ´õ Àß • °Í °°¾Ñ¤· ¿ä ¤¾¤¾ 
¾¾Ä®ÆÄÅõ ¿¡½º ¿À ¿¡½º¿¡ µé¾î°£ ¼ººÐµµ µé¾î°¡ ÀÖ´Ù°í ÇÏ³×¿ë ¤¾¤¾ 
¼öÅ©¶öÆÄÅõ ¤¡¼ººÐÀº ¹ºÁø ¸ð¸£°ÚÁö¸¸ ¾Æ¹«Æ° »óÃ³¿¡ Ä¡·á°¡ ÀßµÇ´« ¼ººÐµéÀ» ³Ö¾î¼­ ¼Õ¿¡ ¸Å¿ì ÁÁÀº °Í °°½À´Ï´õ !!
ÁÁÀ¸¸é ¶Ç ´Ù¸¥ Ä£±¸µéÇÑÅ×µµ ¼±¹° ÇØÁà¾ß °Ú³×¿ä ¤¾¤¾ 
¼Õ ¸¹ÀÌ »ç¿ëÇÏ´Â Á÷¾÷ °¡Áö½Å ºÐµé¿¡°Ô ÃÖ°íÀÇ ¼±¹°ÀÌ¶ó°Å »ý°¢ÇÕ´Ï´ô",0,2022,9,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,0,0,0,0
28,28,A000000177840,wlc****,0,0,5,1,Çâµµ ÁÁ°í °¡º±°Ô ¹Ù¸£±â¿¡ ÁÁ½À´Ï´Ù Èí¼öµµ ºü¸£°í ÀÚÁÖ ¾µ ¿¹Á¤ÀÔ´Ï´Ù,0,2022,9,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
29,29,A000000177840,tivmz****,0,0,5,1,ÇâÀº ¾øÁö¸¸ ÇÇºÎ°¡ ÁÁ¾ÆÁ®¿ä~ Èí¼öµµ ºü¸£°í ÃËÃËÇÔÀÌ ¿À·¡°©´Ï´Ù~,0,2022,6,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,0,0,0,0
30,30,A000000177840,gkdus****,0,0,5,1,¾î¸Ó´Ï°¡ ¾Æº¥´À¸¦ Âü ÁÁ¾ÆÇÏ¼¼¿ë Àúµµ ´ÙÀ½¿¡ ½áº¸·Á±¸ ÇÕ´Ï´ç,0,2022,6,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
