,index,product_id,reviewer,reviewer_rank,specialist,user_score,on_off,review,help,year,month,day,아토피,쿨톤,all,탄력,웜톤,건성,피지과다,모공,트러블,각질,잡티,블랙헤드,약건성,홍조,중성,주름,다크서클,복합성,민감성,미백,지성,발림성,자극도,피부타입_건성에_좋아요,피부타입_복합성에_좋아요,피부타입_지성에_좋아요
10,10,A000000177783,쭈얌,0,0,5,1,"민감한 피부에 착붙
소량으로 넓은 부위에 펴 바를수있는 제형
톤업 썬크림이라 단독으로 써도 자연스러운 톤업
화장전 베이스로 사용하기 좋아요
수분감이 많아 피부에 스며 들면서 광이 돌아요
무엇보다 트러블이 없고 성분이 착해서 좋아요",7,2020,7,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,0
11,11,A000000177783,areum****,0,0,5,0,"기초 화장품은 모두 라로슈포제를 사용해요.
그래서 브랜드 믿고 하얀색 기본 선크림(?)과 틴티드 선크림을 예전에 구매했다가 너무 오일리하고 눈이 시려서 못쓴 경험이 있었어요...
수부지에 민감성 피부에 얼굴 기름 부자입니다..
이번에 오프라인 매장에서 톤업 라이트를 손등에 테스팅해보고
처음 발릴 땐 부드럽고 촉촉한데 금방 보송해지길래
온라인으로 구입했어요.
그런데 얼굴에 바르니 바른 순간부터 기름 광이 번지르르..
너무 지저분해 보여요..너무 기름져보여서 티슈로
얼굴 전체를 눌러주었더니 조금 낫더라구요..눈시림도 있구요..
중.건성 피부에 맞을것 같아요..
라로슈포제 선크림은 이제 저와는 안맞는걸 한번 더 확인했습니다..ㅜㅜ",6,2021,4,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,0,0
12,12,A000000177783,미복이언니,0,0,5,0,"샘플로 써봤다가 너무 좋아서 장바구니에 담아뒀었어요~
30ml에 32000원이라 ㅠㅠ 좀 부담스러운 가격이라 세일할때까지 ㅋㅋㅋㅋㅋ
근데 올영세일 기간에도 얘는 베스트셀러라 가격이 그대로.. 그냥 제값주고 샀지만 명불허전! 너무 만족해요~
제형도 적당한 점도라 좋구 톤업도 자연스럽게 되고~
요즘 운전하면서 유리로 들어오는 자외선에 좀 탔는데, 이거 바르니 진짜 UV차단이 확실히 되는 것 같네요!!!
손등에도 쫙쫙 발라줍니다 ㅎㅎ 선크림 유목민이었는데 이걸루 정착하려구요~🙋‍♀️",6,2021,2,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,0,1,0
13,13,A000000177783,루갈,0,0,5,0,"톤업기능의 크림인데 덤으로 선크림으로까지 쓸수잇어서 좋아요
특히 노란끼있는 피부에 잘 먹혀서 생기있고 광채가 납니다. 다만 유분기가 많이 있어서 지성인 분들한테는 기름이 넘쳐날수도 ㅠㅠ 저는 건성인데도 유분기가 많다고 느껴졌어요",6,2020,12,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,0
14,14,A000000177783,Anniee,1116,0,5,0,"오늘 구매한 라로슈포제 톤업라이트 기획 제품은 정말 할말 많아요 
50ml가 일시품절이 오래 된데다 언제 나올지 모른다고 해서 30ml만 꾸준히 구매해서 사용하고 있었는데.. 
단품은 오늘드림 품절, 대신 기획 상품이 보여요 
근데 구매정보에 125ml 응 뭐지?
라로슈포제 공홈에도 30ml만 확인되는데.. 혹시나 하고 오늘드림 픽업 주문하기 전에, 자주 가는 매장에 방문 
거긴 이 기획상품이 없대요 ㅠㅠ 50ml는 다시 판매되고 있으나,  오프라인 매장에서만 현재 판매중 

그리고 올영 매장 직원이 기획상품으로 125ml 판매될수 있으니 다른 가까운 매장으로 가보라고.. 
온라인몰에서 구매가능 매장으로 확인되는 근처 매장으로 방문,정말 125ml이 나옴 올영 매장마다 난리가 나겠죠 ㅎㅎ 

진짜 말도 안되지만.. 살짝 기대한건 사실이에요 하핫 
진짜 가끔 말도 안되는 이벤트 기획상품이 나오기도 하니까요 
저 정말 올영 친친입니다~ 

그래서 제품에 대한 아쉬움은 아니고, 올영 온라인몰 고객센터에 전화하니 제조사로 확인해야하고,
제조사에서는 확인이 제대로 안되서 올영 자체 부서에 확인이 필요하다고.. 답변을 받았고, 

라로슈포제 고객센터는 125ml가 나올수가 없다고 ㅎㅎ 
웃으며 올영에서 잘못 기재한거 같다고 서로.. 미루더라고요 
올영 매장에서는 온라인몰 기재다보니.. 또 확인이 어렵고요 ㅠㅠ 
구매정보란에 용량표기가 아직도 변경되지 않은걸 보니.. 저처럼 뭐지?하고 혹 하실분도 계실것 같아서요 

암튼 30ml 기획세트 상품으로 잘 구매하고 왔답니다~ 

---

여기서부터는 제품 리뷰~
톤업크림 제품중에서는 갑오브갑인거 같아요 
저는 예민, 민감 터지는 피부에 또 수부지까지 있는 완전 초초 어려운 피부거든요 
조금이라도 맞지 않으면 붉어지고, 빨갛게 도돌도돌 올라와요 
그래서 피부가 아플때.. 정말 아무것도 바를수 없었을때 이 톤업크림만 바르고 다녔어요 
(물론 제 피부에 맞는 기초제품도 살짝 사용하거나 아님 아예 안하거나..

자외선 차단 기능에, 파운데이션과 메이크업베이스 효과도 있어 
따로 무얼 바르지 않아도 피부톤이 화사하게 보여요 
처음에 발랐을때는 백탁현상이 있어 진짜 하얗게, 하얀 도화지처럼 피부가 보일때도 있지만 
쓱쓱 맨질맨질 해주고 잠시 시간을 두면 제 피부색보다 한톤 업된 뽀얀 피부가 보인답니다 

정말 화장을 안했다 싶은데.. 뽀얗게 표현이 되서 민낯이 부끄럽지 않아요 ㅎㅎ

온라인몰에서도 50ml 판매가 언넝 시작되면 좋겠어요 
30ml는 정말 순삭하거든요",5,2022,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,3,0,1,0
15,15,A000000177783,daybreak,796,1,5,0,"평소에 선크림을 바르진 않는데, 베이스 메이크업용 톤업크림이 필요해서 구매한 사람입니다 :)
처음에 퇴근하고 택배 받자마자 맨 얼굴에 발라봤어요.

🥀자외선 차단기능이 있어서 그런지 생각보다 제형이 뻑뻑하고 맨 얼굴에는 쉽게 뜨더라고요.
그리고 운동가서 땀을 엄청 흘리고 왔는데.. 분명 다 지워지고 안 예쁘게 무너졌을 줄 알았는데 괜찮더라구요!?

☘️그래서 다음날에 출근할때 기초를 탄탄하게 하고 베이스 메이크업용으로 얼굴 전체에 펴 발라주고 메이크업을 해봤어요. (컨실러. 쿠션, 쉐딩)
베이스 메이크업을 해본적은 처음인데, 어느정도 커버를 해주니깐 화장할때 확실히 편하더라구요!
색상은 완전 흰색인줄 알았는데 실제로는 연한 베이지 정도였고, 기초를 탄탄히 하니깐 뜨지 않고 이후 메이크업에도 지장 없었어용.

☘️그리고 제일 좋았던게 무너질때 예쁘게 무너져요 ㅎㅎ
쿠션만 사용할때는 다크닝이 심했는데 톤업크림이랑 같이 사용하니깐 12시간(?) 이후에도 얼굴이 환하더라구요✌🏻

+ 목에는 사용하기 아까워서 ㄴㅇㅇㅅㅇ의 바디용 톤업제품을 사용하고 있습니당",5,2022,1,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2,0,1,0
16,16,A000000177783,만듕,0,0,4,0,"2022년 1월 첫째주에 배송왔구요. 유통기한은 2024년 2월까지인게 왔네요.

🧡톤업
파데프리용으로 샀는데 솔직히 실망했어요ㅜㅜ 톤업이 되긴 하는데 아주 살짝 약하게돼요. 원래 피부톤이 노란데 그거 살짝 중화시켜주는 정도..?

💜지속력
톤업 지속력도 그렇게 길지 않은 것 같아요. 마스크 쓰고 하루종일 일하다가 점심때쯤 마스크 벗으니까 원래 얼굴색이였어요.

💛수분감
바를때 부드럽게 촉촉하게 잘발려요.

💚유분감
유분감도 충만합니다. 9시간 지난후에 코 부분 쓸어보니 유전 터진줄 알았네요ㅎㅎ

💙결론
쿠션이나 파운데이션 대용으로는 사용하시면 안될 것 같고 그냥 선크림으로 사용하셔야 될 것 같아요. 지성, 복합성분들한테는 비추하구요. 건성분들한테는 좋을 것 같습니다. 저는 매트한 파데쓸때 선크림으로 사용하겠습니다 아! 30ml라서 휴대용으로는 좋아요!",5,2022,1,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2,1,0,0
17,17,A000000177783,뇽듁,0,0,4,0,라로슈포제 껄 첨써봐서ㅋㅋ 궁금해서 골랐는데 선크림도 종류가 많아서 사실 고르는게 더 애먹는것 같아요 복합성이랑 건성이랑 민감성 다 가지고 있는 타입이라 약간 단독으로 발랐을때 백탁현상 심하지않게 톤업되는걸 원해서 갯했는데 자외선차단수치고 높고 자연스럽게 톤업되는점은 좋았고 다만 촉촉하지도 않구 건조하지도 않는 그런느낌을 받아서 복합성이나 수분부족형지성에 더 잘맞을 것 같아요 용량이 작아서 가격대비 세일안하면 좀 부담됩니당,5,2020,10,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,1,0
18,18,A000000177783,밴쿠버,274,0,5,0,"이번달 할인 상품이죠! 라로슈포제 썬크림은 기능은 너무너무 좋은데! 가격에 비해 용량이 많지는 않아서 할인할 때 사놓는 편이랍니다 ㅎㅎ

💚 쿨톤용 파데프리 선크림으로 유명한 이 제품은 파데프리 화장을 지향하시는 분들이나 톤업 선크림을 원하시는 분들이 쓰시기 좋습니다!

💚 아주 촉촉하게 발리기 때문에 건성이신 분들도 부담없이 바르실 수 있을 거 같아요!

💚 톤업 선크림 쓰시는 분들이 가장 걱정하는 게 바로 너무 하얘짐/백탁 현상일텐데, 너무 하얘지지도 않으며, 백탁 현상도 없는 편입니다!

💜 다만 앞서 말씀드렸듯 할인해서 2만원대의 썬크림이지만 용량이 많지는 않아서 가성비 썬크림 원하시는 분들에게는 비추합니다!

💜 애초에 쿨톤용 썬크림으로 밀고 나가는 썬크림인만큼 웜톤이신 분들은 톤이 살짝 안 맞을 수도 있다는 첨 참고 바랍니다!",4,2022,1,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1,0,0
19,19,A000000177783,베이비슈,93,0,5,0,"이제 마스크를 쓰는 생활이 3년째가 되네요. 이렇게 오래 쓸줄은 몰랐는데. 그 사이에 정말 화장하는것도 많은 변화가 생겼어요. 점점 옷도 안사고 머리도 잘 안하고;; ㅋㅋㅋ 화장도 그냥 썬크림만 잘 챙겨바르는 정도로 하는데, 쿠션이나 파데를 바르면 어떻게 해도 마스크에 좀 묻어버려서 그게 위생적이지 못한 것 같아서 싫더라구요. 그래서 꼭 해야하는 날 아니면 그냥 톤업이 화사하게 되는정도의 제품을 선호해요. 

라로슈포제 톤업 라이트는 자외선 차단을 잘 해주면서도 뽀얗게 올라오는 화사한 톤업색감, 그리고 무엇보다 촉촉하고 편안한 사용감이 마음에 드는 제품이에요. 

용량이 30ml라 조금 아쉽지만 그래도 비싼 명품에 뒤지지 않는, 가성비 좋고 피부에도 좋은 제품인 것 같아요. 

저는 쿠폰 사용해서 저렴하게 사서 더욱더 마음에 들었지만, 그게 아니더라도 재구매를 할 것 같아요.",4,2022,1,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,3,1,0,0
20,20,A000000177783,뽀냥이,1116,0,4,0,"톤업은 확실히 되네요. 부드럽고 촉촉한 느낌의 발림성인데, 얼굴에 바르면 유분기가 돌아요. 지성인 분들은 여름에는 좀.. 유분기 때문에 버거울거 같아요.
적당히 화사해지는 톤업 선크림이라 파데프리 하기는 좋은데 .. 지금처럼 살짝 더워지는 시기에는.. 저한테는 유분기 때문에 좀 끈적이네요. 저는 여름 제외하고 두루두루 잘 바를거 같아요. 그리고 간혹가다 때처럼 밀리는 선크림도 있던데 이 제품은 그런게 없어서 좋아요. 베이스 메이크업 전에 바르기에도 괜찮은 제품입니다. 다만 용량에 비해 가격은 좀 비싼편인거 같아요. 아무튼 적당히 화사하게 톤업되는점이 참 마음에 들어요.",4,2021,5,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,2,1,0,0
21,21,A000000177783,옵뽀,0,0,5,0,라로슈포제 썬크림은 처음 사용해보는데 확실히 순하고 부드러운 것 같아요. 저는 수부지 타입이라서 미백 기능 있는 썬크림 잘못바르면 진짜 다 뜨고 너무 건조한데 이 제품은 나름 촉촉한 편인데다가 톤업 기능도 너무 과하지 않아서 데일리로 무난하게 사용하기 좋은 것 같습니다. 다만 용량에 비해 조금은 비싼 편이라 그게 좀 아쉽지만... 피부를 생각하면 저자극성 순한 미백 기능에 차단 지도 높은 썬크림이 이 정도 가격이면 괜찮다 싶어서ㅋㅋ 다 사용하면 재구매 의사 있습니다. 수분라인 혹은 틴티드(?) 라인 한번 사용 해 보고 싶어요. 만족합니다.,4,2021,4,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,1,0,0
22,22,A000000177783,숑댕,0,0,5,1,"자극없이 순하고 좋은데 ,, 바르고 나니 넘 건조해요 ㅜㅜㅜ
그래서 기초를 탄탄히 하규 발라야해여ㅔ",4,2020,12,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,3,0,0,1
23,23,A000000177783,unnnu,0,0,5,0,"늘 쟁여놓고 쓰는 제품이에요 피부가 뒤집어져도 쓰기에 자극이 없었어요 순한느낌! 살짝 물느낌인데 발림성도 좋고 바르고 톡톡하면 잘 스며들어요! 저는 피부가 하얀편인데 더 자연스럽게 하얘져요 다른거 쓰다가도 이거 만한게 없어서 돌아옴..
몇 통 썼는지 모를만큼 썼는데 용기가 투명하게 바껴서 얼마나 남았는지 볼수있게되어서 좋네용",4,2020,11,16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,0,1,0
24,24,A000000177783,가을911,0,0,5,1,"드디어 선크림 적창..
민감성이라 별의 별 선크림 다 써봤는데 드디어 찾았어요 자극없고 순하고 적당히 톤업되는!
벌써 세통째 구매해서 쓰고 있어요",4,2020,11,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,0
25,25,A000000177783,나랭이,0,0,5,0,"건성인 분들에게는 정말 강추요
지성은 추천하진 않습니다
커버되길 바라면 실망하실거에요
그냥 톤보정 정도",4,2020,9,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,1,0,0
26,26,A000000177783,tjdbrud****,0,0,4,0,"이거 엄청 좋아요 몇년째 재구입중인데 세일때마다 구매하는데 생각보다 오래쓰고 톤업도 자연스럽게되고 
일단 눈시림이 없고 자극적이지않아서 제일 좋아요",4,2020,8,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,1,0
27,27,A000000177783,정옒,0,0,5,0,"선크림을 답답해서 잘 안바르고 다녀서 최근에 기미가 엄청 심해졌는데 이 제품 추천받아서 써봤어요.
가볍게 발리고 톤업되니까 고민이던 기미까지 살짝 커버 되어서 너무 좋았습니다.
이제 선크림은 라로슈포제만 쓸것같아요.",4,2020,3,25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,0
